Product,City,Product Revenue,Normalization
Google Glass Bottle,London,854.82,10
(other),(other),648.94,7.591539739
Learning Thermostat 3rd Gen-USA - Stainless Steel,San Francisco,461.68,5.400903114
Mini Android Collectible Figure - Series 7,North Laurel,302.09,3.533960366
Google Tee White,New York,286.15,3.34748836
Google Zip Hoodie F/C,New York,278.82,3.261739314
Google 24 oz Ring Bottle Red,Denver,270.73,3.167099506
Google 24oz Ring Bottle Blue,Denver,270.73,3.167099506
Google Bike Mini Backpack,New York,247.88,2.899791769
Google Incognito Messenger Bag,New York,232.37,2.718350062
Google Incognito Flap Pack,San Ramon,232.36,2.718233078
Google Light Pen Yellow,Maryland Heights,231.61,2.709459301
Google Pullover Hoodie Grey,West New York,223.05,2.609321261
Google Canteen Bottle Black,Chicago,223,2.608736342
Google Sherpa Zip Hoodie Charcoal,Anaheim,213.8,2.501111345
Google Unisex Eco Tee Black,New York,204.41,2.391263658
Google Clear Framed Yellow Shades,London,201,2.351372219
Android Iconic Backpack,New York,193.66,2.265506188
Google Clear Framed Blue Shades,Denver,193.27,2.260943824
Google Clear Framed Yellow Shades,Denver,193.27,2.260943824
Google Utility BackPack,Mexico City,185.91,2.174843827
Google Utility BackPack,Millbrae,185.9,2.174726843
Google Utility BackPack,Milpitas,185.9,2.174726843
Google Utility BackPack,San Francisco,185.9,2.174726843
Google Utility BackPack,Ringgold,185.9,2.174726843
Google Utility BackPack,Houston,185.9,2.174726843
Google Zip Hoodie F/C,West New York,185.88,2.174492876
Android Large Removable Sticker Sheet,San Bernardino,185.29,2.167590838
Cam Outdoor Security Camera - USA,New York,184.36,2.156711354
Google F/C Longsleeve Ash,New York,179.65,2.101612035
Google Stylus Pen w/ LED Light,San Jose,170.42,1.993636087
Google Twill Cap Charcoal,New York,161.08,1.884373318
Android Moffet Jacket,Sao Paulo,154.93,1.812428347
Google F/C Longsleeve Charcoal,Austin,145.61,1.703399546
Google Chrome Dinosaur Collectible,Los Angeles,139.43,1.631103624
Android SM S/F18 Sticker Sheet,San Bernardino,138.97,1.625722374
Android Small Removable Sticker Sheet,San Bernardino,138.97,1.625722374
Google Sport Socks,Socastee,138.81,1.623850635
Google Women's Tech Fleece Grey,Cambridge,137.88,1.612971152
Google Unisex Pride Eco-Tee Black,Newark,136.33,1.594838679
Google Men's Discovery Lt. Rain Shell,Hayward,136.32,1.594721696
Google Men's Discovery Lt. Rain Shell,Charlotte,136.32,1.594721696
Google Men's Discovery Lt. Rain Shell,New York,136.32,1.594721696
Google Men's Techie Fleece,Minneapolis,136.32,1.594721696
Google Women's Discovery Lt. Rain Shell,Houston,136.32,1.594721696
Google Tee F/C Black,Houston,136.27,1.594136777
Google Pullover Hoodie Grey,Austin,130.11,1.522074823
Google Campus Bike Mini Backpack,New York,123.94,1.449895885
Google Crew Socks,New York,123.94,1.449895885
Google Campus Bike,Los Altos,123.91,1.449544933
YouTube Pen 2-Pack,Honolulu,123.63,1.44626939
YouTube Small Sticker Sheet,Honolulu,120.53,1.410004445
Google Incognito Zip Pack,Charlottesville,116.19,1.359233523
Google Mens Microfleece Jacket Black,Saskatoon,116.19,1.359233523
Google Mens Microfleece Jacket Black,Mexico City,116.19,1.359233523
Google Mens Microfleece Jacket Black,Laguna Niguel,116.19,1.359233523
Google Incognito Flap Pack,Novi,116.18,1.359116539
Google Incognito Messenger Bag,San Ramon,116.18,1.359116539
Google Incognito Zip Pack,Nashville,116.18,1.359116539
Google Mens Microfleece Jacket Black,Hayward,116.18,1.359116539
Google Mens Microfleece Jacket Black,San Francisco,116.18,1.359116539
Google Campus Bike Eco Tee Navy,New York,116.16,1.358882572
Google Women's Ringer Tee,Millersville,116.15,1.358765588
Google Women's Techie Fleece,San Francisco,109.05,1.275707166
Google Sunglasses,Woodbine,108.45,1.268688145
Google 24 oz Ring Bottle Red,Rockville,108.29,1.266816406
Google 24oz Ring Bottle Blue,Rockville,108.29,1.266816406
Campus Corkbase Mug Blue,Breezy Point,105.29,1.231721298
YouTube Tee Black,New York,102.25,1.196158256
Google Tee F/C Black,New York,102.22,1.195807304
Google Tee F/C Black,Los Angeles,102.2,1.195573337
Google Women's Tee F/C Black,New Rochelle,102.2,1.195573337
Google Women's Tee F/C Black,Houston,102.2,1.195573337
YouTube Twill Sandwich Cap Black,New York,100.64,1.177323881
Google Camp Mug Ivory,Portland,100.62,1.177089914
Google Twill Cap Charcoal,Mountain View,100.62,1.177089914
Google Men's Outpost Vest,San Francisco,99.14,1.159776327
YouTube Crew Socks,New York,99.09,1.159191409
Google Men's Kirkland Pullover,Denver,97.6,1.141760839
Google Men's Kirkland Pullover,Minneapolis,97.59,1.141643855
Google Men's Kirkland Pullover,Fairfax,97.59,1.141643855
Google Women's Grid Zip-Up,Burbank,97.59,1.141643855
Google Women's Grid Zip-Up,San Jose,97.59,1.141643855
Google Light Pen Yellow,Anaheim,92.96,1.087480405
Google Red Speckled Tee,Sunnyvale,92.96,1.087480405
Google Zip Hoodie F/C,Louisville,92.96,1.087480405
Google Zip Hoodie F/C,Syracuse,92.96,1.087480405
Google Zip Hoodie F/C,Shelburne,92.96,1.087480405
Google Zip Hoodie F/C,Farmers Branch,92.96,1.087480405
YouTube Standards Zip Hoodie Black,Winnipeg,92.96,1.087480405
YouTube Standards Zip Hoodie Black,Pinckney,92.96,1.087480405
YouTube Standards Zip Hoodie Black,Jersey City,92.96,1.087480405
YouTube Standards Zip Hoodie Black,Las Vegas,92.96,1.087480405
YouTube Standards Zip Hoodie Black,Getzville,92.96,1.087480405
Google Zip Hoodie F/C,London,92.94,1.087246438
Google Zip Hoodie F/C,Irvine,92.94,1.087246438
Google Zip Hoodie F/C,La Canada Flintridge,92.94,1.087246438
Google Zip Hoodie F/C,Los Angeles,92.94,1.087246438
Google Zip Hoodie F/C,Elgin,92.94,1.087246438
Google Zip Hoodie F/C,Basehor,92.94,1.087246438
Google Zip Hoodie F/C,Omaha,92.94,1.087246438
YouTube Standards Zip Hoodie Black,Kahului,92.94,1.087246438
Google Flat Front Bag Grey,San Jose,92.92,1.08701247
YouTube Pen 2-Pack,Santa Clara,92.72,1.084672797
Unisex Google Jumbo Print Tee White,Millersville,89.86,1.051215461
Google F/C Longsleeve Ash,Austin,89.83,1.050864509
Google Sport Socks Summer 18,London,86.7,1.014248614
Google Crewneck Sweatshirt Grey,Mexico City,85.21,0.996818044
Google Crewneck Sweatshirt Grey,San Jose,85.21,0.996818044
Google Crewneck Sweatshirt Grey,Sunnyvale,85.21,0.996818044
Google Shoreline Tonal Crew Maroon,Redmond,85.19,0.996584076
YouTube 25 oz Gear Cap Bottle Black,London,83.63,0.97833462
Google Crewneck Sweatshirt Navy,San Francisco,80.56,0.942420627
Google Crewneck Sweatshirt Navy,New York,80.56,0.942420627
Google Twill Cap Charcoal,Newport Beach,80.56,0.942420627
Google Twill Cap Charcoal,Oakland,80.56,0.942420627
Google Crewneck Sweatshirt Grey,Santa Clara,80.55,0.942303643
Google Crewneck Sweatshirt Grey,Mount Laurel Township,80.55,0.942303643
Google Crewneck Sweatshirt Navy,Mount Laurel Township,80.55,0.942303643
Google Hub Mug White,Chicago,80.5,0.941718724
Android Moffet Jacket,Alameda,77.46,0.906155682
Google Infant Charcoal Onesie,Sunnyvale,77.46,0.906155682
Google Campus Bike Eco Tee Navy,Austin,77.45,0.906038698
Google Campus Bike Eco Tee Navy,Los Altos,77.43,0.905804731
