Search Query,Clicks,Impressions,CTR,Average Position
youtube merch,280,"1,680",16.67%,1.9
youtube merchandise,249,"1,150",21.65%,1.3
google t shirt,135,438,30.82%,1
youtube shop,118,321,36.76%,1
youtube store,106,272,38.97%,1.1
google backpack,102,981,10.40%,1.1
google merchandise store,81,"2,789",2.90%,1
google apparel,74,111,66.67%,1
google hoodie,74,225,32.89%,1
google stickers,73,397,18.39%,1
google shirt,71,287,24.74%,1
google water bottle,45,241,18.67%,1
google clothing,40,77,51.95%,1
google merchandise,39,896,4.35%,1
google tshirt,39,131,29.77%,1
google electronics,38,878,4.33%,3.4
google socks,37,188,19.68%,1.3
google shop,36,"8,443",0.43%,6.8
youtube t shirt,36,375,9.60%,1.4
youtube hoodie,35,325,10.77%,2.7
google sticker,29,115,25.22%,1
youtuber merch,29,"3,541",0.82%,8.7
google t-shirt,27,108,25.00%,1
google bag,21,122,17.21%,1
google sunglasses,21,172,12.21%,1.8
google sweatshirt,20,66,30.30%,1
youtube sweatshirt,20,127,15.75%,2.2
google accessories,19,768,2.47%,4.5
google shirts,19,84,22.62%,1
google store shipping time,19,89,21.35%,1.1
youtube apparel,19,51,37.25%,1
pixelbook return policy,18,48,37.50%,1
shop youtube,18,47,38.30%,1
youtube shirt,18,223,8.07%,1.1
google clothes,17,60,28.33%,1
google mug,17,85,20.00%,1
merch youtube,17,252,6.75%,3.5
youtube jacket,16,125,12.80%,2.6
youtuber merchandise shops,16,222,7.21%,3.9
google tshirts,14,30,46.67%,1
/google+redesign/shop+by+brand/youtube,13,26,50.00%,1
google apparel store,13,20,65.00%,1
google t shirts,13,38,34.21%,1
shop google,13,"2,143",0.61%,6.8
google store,12,"4,619",0.26%,12
youtube tshirt,12,91,13.19%,1.9
google bags,11,40,27.50%,1
google clothing store,11,21,52.38%,1.1
that youtube family merch,11,595,1.85%,7
you tube merch,11,57,19.30%,2.2
google hat,10,211,4.74%,1
google store mountain view,10,70,14.29%,2.1
google store t shirt,10,13,76.92%,1
official youtube merchandise,10,27,37.04%,1
yt merch,10,82,12.20%,1.7
boutique youtube,9,34,26.47%,4.7
google hoodies,9,32,28.12%,1
google large tote canvas,9,15,60.00%,1
google pullover,9,18,50.00%,1
google sweater,9,45,20.00%,1
google t,9,"21,539",0.04%,5.5
google cap,8,122,6.56%,1
google store apparel,8,10,80.00%,1
youtube clothing,8,72,11.11%,1.1
youtube merchandise store,8,19,42.11%,1.1
android merchandise,7,21,33.33%,1
google bottle,7,33,21.21%,1
google store login,7,140,5.00%,3.7
google store shirts,7,7,100.00%,1
youtube accessories,7,95,7.37%,1
youtube merchandise india,7,14,50.00%,1.3
youtube merchandise uk,7,69,10.14%,3.3
android shop,6,214,2.80%,6.1
android t shirt,6,33,18.18%,2.4
google beanie,6,35,17.14%,1.6
google coffee mug,6,30,20.00%,1.1
google rucksack,6,29,20.69%,1
google shipping time,6,17,35.29%,2.5
google tee,6,35,17.14%,1
google+redesign/shop+by+brand/youtube,6,9,66.67%,1
sticker google,6,34,17.65%,2.5
t shirt google,6,30,20.00%,1
youtube clothes,6,42,14.29%,1.9
youtube merchandising,6,11,54.55%,1.3
youtube t-shirt,6,61,9.84%,1.5
/google+redesign/apparel/mens/mens+t+shirts,5,14,35.71%,1
/google+redesign/bags,5,7,71.43%,1
android merch,5,11,45.45%,1
gcp t-shirt,5,13,38.46%,1.5
google apperal,5,6,83.33%,1
google pen,5,516,0.97%,7.8
google stickers for laptop,5,12,41.67%,1.2
google store clothing,5,6,83.33%,1
google store tshirt,5,8,62.50%,1
google t shirt free,5,52,9.62%,3.3
google t shirt store,5,7,71.43%,1
google water,5,"1,886",0.27%,7.9
merchandise youtube,5,31,16.13%,3
stickers google,5,18,27.78%,1.1
willne merch,5,541,0.92%,9.3
youtube stickers,5,141,3.55%,7.6
/google+redesign/nest/nest-usa,4,4,100.00%,1
android figure,4,71,5.63%,8.5
android toy,4,141,2.84%,7.4
android tshirt,4,9,44.44%,2.4
apparel store,4,265,1.51%,3.1
backpack google,4,34,11.76%,1.3
firebase shirt,4,4,100.00%,1
gcp t shirt,4,13,30.77%,1.8
google back pack,4,10,40.00%,1.8
google backpacks,4,11,36.36%,1
google clothing line,4,11,36.36%,1.2
google cloud tshirt,4,5,80.00%,1
google crewneck,4,7,57.14%,1
google laptop stickers,4,13,30.77%,1
google light pen,4,7,57.14%,1
google merch,4,341,1.17%,1
google merch store,4,122,3.28%,1
google store clothes,4,7,57.14%,1
google store shipping,4,123,3.25%,6.4
google store tracking,4,265,1.51%,7.2
google t-shirts,4,30,13.33%,1
google zip hoodie black,4,12,33.33%,1
nest canada,4,"1,159",0.35%,8.5
you tube shop,4,9,44.44%,1
youtube hoodies,4,37,10.81%,4.8
youtube shirts,4,73,5.48%,1.2
apparel shop,3,137,2.19%,6.5
buy google t shirt,3,5,60.00%,1
google bagpack,3,5,60.00%,1
google cloud merchandise,3,9,33.33%,1
google cloud t-shirt,3,9,33.33%,1.9
google cup,3,68,4.41%,1.8
google developer t shirt,3,14,21.43%,4.3
google gift shop,3,28,10.71%,2.1
google hats,3,43,6.98%,1
google kids,3,"1,054",0.28%,11
google logo hoodie,3,16,18.75%,1.2
google logo t shirt,3,18,16.67%,1
google magnet,3,66,4.55%,4
google merchandise india,3,26,11.54%,2.3
google merchandise store mountain view,3,28,10.71%,1
google official merchandise,3,9,33.33%,1
google store order tracking,3,134,2.24%,5.6
google store shipping carrier,3,7,42.86%,3
google t shirt india,3,14,21.43%,3.4
google tee shirt,3,14,21.43%,1
google trui,3,8,37.50%,3.4
google tシャツ,3,17,17.65%,1
google unisex t-shirts,3,83,3.61%,1.1
maze pen,3,46,6.52%,2.1
mountain view google store,3,9,33.33%,1.9
shop.google,3,66,4.55%,6.5
tshirt google,3,9,33.33%,1
waze merchandise,3,5,60.00%,1
youtube 3 lines tee grey,3,3,100.00%,1
youtube cap,3,49,6.12%,2.9
youtube hat,3,51,5.88%,3
youtube logo t shirt,3,15,20.00%,4
youtube merch shop,3,8,37.50%,3
youtube merch store,3,33,9.09%,2.9
youtube merch stores,3,8,37.50%,1.9
youtube store london,3,21,14.29%,6.2
youtube store uk,3,3,100.00%,1
youtuber merchandise,3,311,0.96%,7.1
android figurine,2,40,5.00%,9.4
android hoodie,2,13,15.38%,2.9
android shirt,2,16,12.50%,2.1
android t-shirt,2,14,14.29%,2.2
bag google,2,15,13.33%,1
buy google shirt,2,3,66.67%,1
cloud platform charcoal tee,2,9,22.22%,2.7
flutter t-shirt,2,7,28.57%,4
google android toy,2,5,40.00%,2.2
google branded merchandise,2,10,20.00%,1
google cloud platform shirt,2,3,66.67%,1
google cloud shirt,2,8,25.00%,1
google cloud t shirt,2,11,18.18%,2.2
google decal,2,7,28.57%,1
google decals,2,6,33.33%,1
google developer t-shirt,2,3,66.67%,3.3
google flutter t shirt,2,11,18.18%,1.9
google it shirt,2,12,16.67%,1
google men,2,47,4.26%,1.1
google metallic notebook set,2,2,100.00%,1
google mouse pad,2,14,14.29%,1.3
google partners water bottle,2,6,33.33%,1
google polo,2,25,8.00%,1.7
google polo shirt,2,9,22.22%,1.3
google pouch,2,5,40.00%,1.8
google printed t shirts,2,9,22.22%,1
google see-no hear-no set,2,3,66.67%,1
google shirt store,2,4,50.00%,1
google shirts online,2,2,100.00%,2.5
google shopping bag,2,10,20.00%,1
google store near me,2,8,25.00%,1
google store return policy,2,893,0.22%,9.2
google store returns,2,213,0.94%,7.6
google store shirt,2,5,40.00%,1
google swag,2,88,2.27%,1.2
google sweatshirts,2,9,22.22%,1
google tasche,2,8,25.00%,1.4
google thermos,2,9,22.22%,2
google tote bag,2,7,28.57%,1
google water bottles,2,4,50.00%,1
google.backpack,2,7,28.57%,1
google.merchandise store,2,9,22.22%,1
hoodie google,2,15,13.33%,1.1
how fast is google shipping,2,3,66.67%,1
how to get google stickers,2,18,11.11%,6.1
how to get google t shirt,2,3,66.67%,3
jazzybum merch,2,6,33.33%,2
jutub shop,2,53,3.77%,3.6
laser beam youtube merch,2,4,50.00%,5
maglietta google,2,5,40.00%,1
merch store youtube,2,6,33.33%,1.7
merchandise shop,2,105,1.90%,7.4
merchandise store,2,232,0.86%,1.7
mmg youtube merch,2,10,20.00%,4.7
nest return policy,2,417,0.48%,9.7
shop by brand,2,56,3.57%,7.3
shop google merchandise,2,14,14.29%,1
shop.googlemerchandisestore.com,2,6,33.33%,1
starsnipe merch,2,18,11.11%,5.4
stickers de google,2,4,50.00%,2
sunglasses google,2,4,50.00%,2.5
tee shirt google,2,7,28.57%,1
